Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-16,6315.68,6369.05,6286.02,6347.77,6347.77,75092105
2022-05-17,6379.34,6448.33,6373.73,6430.19,6430.19,86952857
2022-05-18,6440.3,6455.8,6342.67,6352.94,6352.94,80314713
2022-05-19,6279.69,6288.99,6196.19,6272.71,6272.71,86227415
2022-05-20,6305.46,6377.58,6264.84,6285.24,6285.24,92863365
2022-05-23,6350.88,6358.74,6263.96,6358.74,6358.74,82641908
2022-05-24,6282.32,6322.74,6243.84,6253.14,6253.14,72012922
2022-05-25,6296.28,6319.29,6229.84,6298.64,6298.64,75142990
2022-05-26,6301.49,6424.88,6298.45,6410.58,6410.58,66120618
2022-05-27,6445.25,6519.73,6424.85,6515.75,6515.75,70892077
2022-05-30,6547.86,6582.05,6536.77,6562.39,6562.39,69803250
2022-05-31,6539.86,6543.42,6457.53,6468.8,6468.8,162339980
2022-06-01,6509.19,6510.26,6414.22,6418.89,6418.89,74750860
2022-06-02,6447.37,6506.6,6447.3,6500.44,6500.44,57959915
2022-06-03,6545,6547.82,6473.74,6485.3,6485.3,48236274
2022-06-06,6533.82,6593.15,6533.82,6548.78,6548.78,60142391
2022-06-07,6523.16,6523.6,6459.92,6500.35,6500.35,66096045
2022-06-08,6517.55,6517.55,6413.87,6448.63,6448.63,73239597
2022-06-09,6412.58,6456.91,6342.99,6358.46,6358.46,72804302
2022-06-10,6316.41,6325.89,6177.31,6187.23,6187.23,103756367
2022-06-13,6088.05,6122.26,6006.28,6022.32,6022.32,106540992
2022-06-14,6063.8,6075.37,5934.12,5949.84,5949.84,85949336
2022-06-15,6022.84,6062.62,5972.31,6030.13,6030.13,93774557
2022-06-16,6003.66,6018.1,5872.2,5886.24,5886.24,99480091
2022-06-17,5906.86,5974.06,5870.64,5882.65,5882.65,181205940
2022-06-20,5901.58,5920.09,5855.93,5920.09,5920.09,65998501
2022-06-21,5943.52,6032.24,5943.08,5964.66,5964.66,63109456
2022-06-22,5879.09,5938.46,5834.46,5916.63,5916.63,87617178
2022-06-23,5880.3,5957.13,5830.87,5883.33,5883.33,89899566
2022-06-24,5918.26,6085.99,5914.67,6073.35,6073.35,85414222
2022-06-27,6105.2,6156.6,6030.61,6047.31,6047.31,66242833
2022-06-28,6099.15,6141.94,6077.95,6086.02,6086.02,64300398
2022-06-29,6021.69,6071.91,5995.75,6031.48,6031.48,70408257
2022-06-30,5926.74,5931.55,5852.3,5922.86,5922.86,115328218
2022-07-01,5875.6,5975.83,5857.34,5931.06,5931.06,72811517
2022-07-04,5983.98,6002.07,5943.91,5954.65,5954.65,54436791
2022-07-05,5979.2,5981.51,5786.5,5794.96,5794.96,104293702
2022-07-06,5872.27,5927.5,5846.1,5912.38,5912.38,89619386
2022-07-07,5985.09,6024.31,5967.98,6006.7,6006.7,94857914
2022-07-08,6007.64,6053.17,5952.89,6033.13,6033.13,76855424
2022-07-11,5923.83,6004.52,5909.73,5996.3,5996.3,59496385
2022-07-12,5960.09,6053.33,5930.98,6044.2,6044.2,71122102
2022-07-13,6015.53,6025.73,5922.94,6000.24,6000.24,70801951
2022-07-14,5979.99,5997.31,5874.68,5915.41,5915.41,72944040
2022-07-15,5935.28,6043.8,5901.38,6036,6036,76205682
2022-07-18,6070.21,6136.02,6059.87,6091.91,6091.91,59881355
2022-07-19,6031.6,6213.88,6028.79,6201.22,6201.22,74716479
2022-07-20,6229.79,6245.47,6151.36,6184.66,6184.66,76814640
2022-07-21,6160.37,6233.98,6143.06,6201.11,6201.11,78627845
2022-07-22,6174.29,6247.35,6168.77,6216.82,6216.82,68727061
2022-07-25,6198.83,6260.13,6177.14,6237.55,6237.55,60387218
2022-07-26,6225.17,6243.86,6194.96,6211.45,6211.45,60556307
2022-07-27,6206.25,6267.8,6199.93,6257.94,6257.94,69640642
2022-07-28,6304.13,6339.21,6236.57,6339.21,6339.21,92169497
2022-07-29,6413.1,6472.27,6397.91,6448.5,6448.5,103116554
2022-08-01,6447.18,6484.08,6434.12,6436.86,6436.86,64439904
2022-08-02,6424.68,6429.05,6381.43,6409.8,6409.8,66079365
2022-08-03,6404.1,6475.54,6398.99,6472.06,6472.06,78437959
2022-08-04,6476.72,6555.71,6475.05,6513.39,6513.39,75071523
2022-08-05,6512.62,6523.03,6449.72,6472.35,6472.35,71657870
2022-08-08,6510.45,6564.24,6503.27,6524.44,6524.44,57501512
2022-08-09,6514.52,6530.35,6480.06,6490,6490,60132517
2022-08-10,6467.1,6545.64,6453.79,6523.44,6523.44,67978683
