Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-16,4013.02,4046.46,3983.99,4008.01,4008.01,3824320000
2022-05-17,4052,4090.72,4033.9299,4088.8501,4088.8501,3846580000
2022-05-18,4051.98,4051.98,3911.9099,3923.6799,3923.6799,4428960000
2022-05-19,3899,3945.96,3876.5801,3900.79,3900.79,4212140000
2022-05-20,3927.76,3943.4199,3810.3201,3901.3601,3901.3601,4278520000
2022-05-23,3919.4199,3981.8799,3909.04,3973.75,3973.75,3392770000
2022-05-24,3942.9399,3955.6799,3875.1299,3941.48,3941.48,3901640000
2022-05-25,3929.5901,3999.3301,3925.03,3978.73,3978.73,4322190000
2022-05-26,3984.6001,4075.1399,3984.6001,4057.8401,4057.8401,3961940000
2022-05-27,4077.4299,4158.4902,4077.4299,4158.2402,4158.2402,3560560000
2022-05-31,4151.0898,4168.3398,4104.8799,4132.1499,4132.1499,5192220000
2022-06-01,4149.7798,4166.54,4073.8501,4101.23,4101.23,4145710000
2022-06-02,4095.4099,4177.5098,4074.3701,4176.8198,4176.8198,3604930000
2022-06-03,4137.5698,4142.6699,4098.6699,4108.54,4108.54,3107080000
2022-06-06,4134.7202,4168.7798,4109.1802,4121.4302,4121.4302,3852050000
2022-06-07,4096.4702,4164.8599,4080.1899,4160.6802,4160.6802,3476470000
2022-06-08,4147.1201,4160.1401,4107.2002,4115.77,4115.77,3090180000
2022-06-09,4101.6499,4119.1001,4017.1699,4017.8201,4017.8201,3192330000
2022-06-10,3974.3899,3974.3899,3900.1599,3900.8601,3900.8601,3936120000
2022-06-13,3838.1499,3838.1499,3734.3,3749.6299,3749.6299,4572820000
2022-06-14,3763.52,3778.1799,3705.6799,3735.48,3735.48,4126400000
2022-06-15,3764.05,3837.5601,3722.3,3789.99,3789.99,4474610000
2022-06-16,3728.1799,3728.1799,3639.77,3666.77,3666.77,4511200000
2022-06-17,3665.8999,3707.71,3636.8701,3674.8401,3674.8401,6954110000
2022-06-21,3715.3101,3779.6499,3715.3101,3764.79,3764.79,4124600000
2022-06-22,3733.8899,3801.79,3717.6899,3759.8899,3759.8899,4342270000
2022-06-23,3774.71,3802.5801,3743.52,3795.73,3795.73,4078100000
2022-06-24,3821.75,3913.6499,3821.75,3911.74,3911.74,6742870000
2022-06-27,3920.76,3927.72,3889.6599,3900.1101,3900.1101,3385120000
2022-06-28,3913,3945.8601,3820.1399,3821.55,3821.55,3590980000
2022-06-29,3825.0901,3836.5,3799.02,3818.8301,3818.8301,3458850000
2022-06-30,3785.99,3818.99,3738.6699,3785.3799,3785.3799,4032260000
2022-07-01,3781,3829.8201,3752.1001,3825.3301,3825.3301,3268240000
2022-07-05,3792.6101,3832.1899,3742.0601,3831.3899,3831.3899,4427900000
2022-07-06,3831.98,3870.9099,3809.3701,3845.0801,3845.0801,3613120000
2022-07-07,3858.8501,3910.6299,3858.8501,3902.6201,3902.6201,3337710000
2022-07-08,3888.26,3918.5,3869.3401,3899.3799,3899.3799,2844620000
2022-07-11,3880.9399,3880.9399,3847.22,3854.4299,3854.4299,3023830000
2022-07-12,3851.95,3873.4099,3802.3601,3818.8,3818.8,3138460000
2022-07-13,3779.6699,3829.4399,3759.0701,3801.78,3801.78,3166580000
2022-07-14,3763.99,3796.4099,3721.5601,3790.3799,3790.3799,3447500000
2022-07-15,3818,3863.6201,3817.1799,3863.1599,3863.1599,3537130000
2022-07-18,3883.79,3902.4399,3818.6299,3830.8501,3830.8501,3414470000
2022-07-19,3860.73,3939.8101,3860.73,3936.6899,3936.6899,3160350000
2022-07-20,3935.3201,3974.1299,3922.03,3959.8999,3959.8999,3452150000
2022-07-21,3955.47,3999.29,3927.6399,3998.95,3998.95,3586030000
2022-07-22,3998.4299,4012.4399,3938.8601,3961.6299,3961.6299,3246220000
2022-07-25,3965.72,3975.3,3943.46,3966.8401,3966.8401,2988650000
2022-07-26,3953.22,3953.22,3910.74,3921.05,3921.05,3083420000
2022-07-27,3951.4299,4039.5601,3951.4299,4023.6101,4023.6101,3584170000
2022-07-28,4026.1299,4078.95,3992.97,4072.4299,4072.4299,3882850000
2022-07-29,4087.3301,4140.1499,4079.22,4130.29,4130.29,3817740000
2022-08-01,4112.3799,4144.9502,4096.02,4118.6299,4118.6299,3540960000
2022-08-02,4104.21,4140.4702,4079.8101,4091.1899,4091.1899,3880790000
2022-08-03,4107.96,4167.6602,4107.96,4155.1699,4155.1699,3544410000
2022-08-04,4154.8501,4161.29,4135.4199,4151.9399,4151.9399,3565810000
2022-08-05,4115.8701,4151.5801,4107.3101,4145.1899,4145.1899,3540260000
