Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-16,244.46,245.48,240.73,244.04,238.6441,2147100
2022-05-17,246,247,239.46,241.63,236.2873,3204900
2022-05-18,239.46,240.08,230.37,231.05,225.9413,3946100
2022-05-19,229.5,232.15,228.34,229,223.9366,3518300
2022-05-20,231.38,234.06,228.59,233.91,228.738,3208200
2022-05-23,235.76,238.89,233.5,238,232.7376,3053500
2022-05-24,237.5,245.8,237.45,244.52,239.1134,5258200
2022-05-25,242.58,245.7,241.59,244.01,238.6147,2641700
2022-05-26,246,249.33,245.6,248.09,242.6045,1972300
2022-05-27,249.5,251.87,248.78,251.87,246.3009,2063800
2022-05-31,250,254.28,248.63,252.21,246.6334,3924700
2022-06-01,253.19,253.42,248.19,249.28,243.7682,2264100
2022-06-02,249.6,250.44,246.22,250.38,244.8439,2089700
2022-06-03,248.43,250.27,248.17,248.36,244.2146,1838900
2022-06-06,249.08,249.53,247.33,248.07,243.9294,1569300
2022-06-07,246,249.79,245.53,248.94,244.7849,2782000
2022-06-08,247.9,248.48,244.89,245.61,241.5105,2101300
2022-06-09,243.62,246,242.03,242.16,238.118,2682600
2022-06-10,239.18,239.51,237.16,237.38,233.4178,1992300
2022-06-13,232.79,240.1,232.68,238.47,234.4896,4697000
2022-06-14,239.96,242.9,238.62,238.76,234.7748,3564800
2022-06-15,239.86,241.58,236.12,238.9,234.9125,3152100
2022-06-16,236.08,237.32,233.82,235.19,231.2644,3272000
2022-06-17,234.22,235.49,232.17,234.38,230.4679,7236300
2022-06-21,236.22,240.1,234.14,239.59,235.5909,3263500
2022-06-22,238.79,244.55,238.36,243.06,239.003,3054300
2022-06-23,243.7,245.09,240.46,243.58,239.5143,1937000
2022-06-24,245.26,248,244.49,247.9,243.7622,3104800
2022-06-27,247.9,248.77,246.57,247.03,242.9068,2059200
2022-06-28,247.06,249.96,242.52,242.83,238.7769,2381700
2022-06-29,246.14,248.87,245.11,247.74,243.6049,2997200
2022-06-30,248.25,248.59,245.45,246.88,242.7593,2786200
